generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler5	8145	8609	1	0.0285714	0.319273	
LeafPopulationSizeScaler5	8913	7820	1	0.0285714	0.541861	
RootPopulationSizeScaler6	8219	8492	1	0.0285714	0.315895	
LeafPopulationSizeScaler6	10294	6350	1	0.0285714	1.01643	
RootPopulationSizeScaler7	8584	8210	1	0.0285714	0.285545	
LeafPopulationSizeScaler7	9149	7564	1	0.0285714	0.646264	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	20052	0	10	0.285714	none	
TimeSizeRateMixer	29012	29867	5	0.142857	0.226817	
TimeRootSizeMixer	16940	18357	3	0.0857143	0.22987	
EventTimeScaler	114052	110470	1	0.0285714	0.565535	
RootPopulationSizeScaler0	8388	9565	1	0.0285714	0.224656	
LeafPopulationSizeScaler0	9266	8671	1	0.0285714	0.274919	
RootPopulationSizeScaler1	8588	9361	1	0.0285714	0.293809	
LeafPopulationSizeScaler1	8612	9426	1	0.0285714	0.353118	
RootPopulationSizeScaler2	9032	8972	1	0.0285714	0.310538	
LeafPopulationSizeScaler2	10031	7974	1	0.0285714	0.661528	
RootPopulationSizeScaler3	8933	9060	1	0.0285714	0.315814	
LeafPopulationSizeScaler3	11650	6348	1	0.0285714	0.587505	
RootPopulationSizeScaler4	9005	9012	1	0.0285714	0.311997	
LeafPopulationSizeScaler4	11173	6850	1	0.0285714	1.23201	
RootPopulationSizeScaler5	8709	9324	1	0.0285714	0.31943	
LeafPopulationSizeScaler5	9548	8440	1	0.0285714	0.544458	
RootPopulationSizeScaler6	8832	9160	1	0.0285714	0.317021	
LeafPopulationSizeScaler6	11022	6903	1	0.0285714	1.02632	
RootPopulationSizeScaler7	9183	8891	1	0.0285714	0.286349	
LeafPopulationSizeScaler7	9816	8160	1	0.0285714	0.650275	
generation 75000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	21473	0	10	0.285714	none	
TimeSizeRateMixer	31068	32158	5	0.142857	0.227346	
TimeRootSizeMixer	18142	19695	3	0.0857143	0.230461	
EventTimeScaler	121979	118689	1	0.0285714	0.567515	
RootPopulationSizeScaler0	8991	10263	1	0.0285714	0.224976	
LeafPopulationSizeScaler0	9902	9334	1	0.0285714	0.275783	
RootPopulationSizeScaler1	9174	10065	1	0.0285714	0.294175	
LeafPopulationSizeScaler1	9214	10113	1	0.0285714	0.353682	
RootPopulationSizeScaler2	9642	9648	1	0.0285714	0.311211	
LeafPopulationSizeScaler2	10707	8586	1	0.0285714	0.665624	
RootPopulationSizeScaler3	9541	9752	1	0.0285714	0.316624	
LeafPopulationSizeScaler3	12397	6890	1	0.0285714	0.593652	
RootPopulationSizeScaler4	9622	9684	1	0.0285714	0.312792	
LeafPopulationSizeScaler4	11871	7433	1	0.0285714	1.24114	
RootPopulationSizeScaler5	9292	10018	1	0.0285714	0.319763	
LeafPopulationSizeScaler5	10181	9092	1	0.0285714	0.54592	
RootPopulationSizeScaler6	9457	9829	1	0.0285714	0.318226	
LeafPopulationSizeScaler6	11740	7492	1	0.0285714	1.03496	
RootPopulationSizeScaler7	9816	9561	1	0.0285714	0.287201	
LeafPopulationSizeScaler7	10468	8790	1	0.0285714	0.653215	
