generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_W1	ln_likelihood_W1	ln_prior_W1	root_height_W1	mutation_rate_W1	freq_1_W1	pop_size_W1	pop_size_E1	pop_size_root_W1	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_W5	ln_likelihood_W5	ln_prior_W5	root_height_W5	mutation_rate_W5	freq_1_W5	pop_size_W5	pop_size_E5	pop_size_root_W5
1600	-6377.63734650131846	30.7888236319770172	3	7.5	0	-1405.54470379115878	11.7973235752214691	0.057042099500037094	1	0.5	0.00204785762064817927	0.00415782450862960291	0.00316235084906673746	1	-3842.90350661674847	3.81870811459328507	0.00857864233418190528	1	0.5	0.0142264722335136411	0.00490566686585814943	0.0111570602426708104	2	-1129.18913609341166	9.58440717604565506	0.0130349968740752879	1	0.5	0.00524050660978669664	0.000977620604088613775	0.002721849345802301
1650	-6374.08764378298747	26.3220833373430629	3	7.5	0	-1406.24610799836137	11.7683962787344889	0.0574284572840508337	1	0.5	0.00231410754931663746	0.00351902349997467454	0.00266491673077941813	1	-3841.78426941861835	0.254156350397487074	0.00911032518583795164	1	0.5	0.01401345330586584	0.00628398923554959049	0.0133893309387404583	2	-1126.05726636600752	9.15348571781438025	0.0165403539956044919	1	0.5	0.00491549314250744416	0.000578732306452984504	0.00259426959033205728
1700	-6373.94251566763432	26.1652691473464927	3	7.5	0	-1407.73592468179163	11.4705898481386264	0.0479079515540009396	1	0.5	0.00140596483828772417	0.00349908874352259942	0.00237508727660509745	1	-3840.22928515505282	0.159825495727240252	0.00863179060483955547	1	0.5	0.011759150757721484	0.00484754127547368761	0.01170576010626115	2	-1125.9773058307901	8.49721372622848747	0.0176234434380984836	1	0.5	0.00424759486186520371	0.000445884625350380002	0.00252269497478550516
1750	-6373.83713317590173	26.3622526355629745	3	7.5	0	-1406.28420931891606	11.3771486482860844	0.049165973468377297	1	0.5	0.00177160165806569247	0.00429420181138847647	0.0032273585021372988	1	-3838.36465794285459	-0.902713424752249693	0.00719953453251818455	1	0.5	0.0133857794387233723	0.00440019894199750704	0.0125314809028758169	2	-1129.18826591413085	9.53279922819995562	0.0146238965302730329	1	0.5	0.00324464754251125665	0.000869677489133499778	0.00174978654583867886
1800	-6373.03752542690654	23.3786417163619333	3	7.5	0	-1406.91429157333255	11.0984190955108453	0.057133906723374886	1	0.5	0.00265777588607675041	0.00510780458258483418	0.00427543328225539129	1	-3838.61500113415559	-2.49084986067956038	0.00850604589130660518	1	0.5	0.0116809816323663902	0.00473338456966485022	0.012279350479712299	2	-1127.50823271941886	9.56405445585035707	0.0168294534979759984	1	0.5	0.00364170690107555291	0.000723904901745743546	0.00193203826845798269
1850	-6372.35271919567731	27.0067074443085566	3	7.5	0	-1406.01866668160483	11.5299965024693485	0.0514545785926222715	1	0.5	0.00214001112884569782	0.00393431274480939269	0.00274227797331697649	1	-3839.35357547991589	-0.111258123725669122	0.00761138766085992478	1	0.5	0.0157246899526768298	0.00443628827500709873	0.0132190050182104096	2	-1126.98047703415727	9.16576635192053857	0.0112515929795347722	1	0.5	0.00386471867964277918	0.000488466639465289648	0.00212915089024166664
1900	-6376.74591167344261	19.0748960982874465	2	7.5	0	-1407.41471342131649	6.65895775437030579	0.0435391371308515504	1	0.5	0.00202992886596273323	0.00376168633515179453	0.00390642599181369003	1	-3843.00530904209108	2.97458592151915369	0.0105218036008119832	1	0.5	0.0136812160569411857	0.00542881660695176266	0.0117270039894917851	1	-1126.32588921003457	8.0135610651486644	0.0105218036008119832	1	0.5	0.00496362723481683088	0.000476269993789182379	0.00303733271645912836
1950	-6374.04306539803292	27.211620962636534	3	7.5	0	-1407.33265826658703	11.6071557352083765	0.0456300143871663649	1	0.5	0.00191744167388967928	0.00443984063957817907	0.00327523805316150664	1	-3838.96096913160045	-0.619115580660814402	0.00765641479116797342	1	0.5	0.0133385677863526869	0.00499089232211287308	0.0127708366432405379	2	-1127.74943799984567	9.81898811294544416	0.0172072302396907607	1	0.5	0.00332731251759792353	0.000660349004635448888	0.00209349294424694948
2000	-6374.92769422818583	26.2125332585225301	3	7.5	0	-1408.02297103688647	11.4072357637679183	0.0614436409507501669	1	0.5	0.00144060145347784611	0.00319191580294748587	0.00242472317187522168	1	-3840.08658626986335	0.550153885700762402	0.00708804543987939014	1	0.5	0.0153847198918679526	0.00434331690025299873	0.0127886238300239964	2	-1126.81813692143601	9.31966474827793689	0.0166531113710716924	1	0.5	0.00354356140555270663	0.000568278527941181951	0.00188395917125688361
2050	-6375.03208092382192	29.335578003884148	3	7.5	0	-1406.99660829805612	12.1062093718215777	0.052929040864096423	1	0.5	0.00230310861413690398	0.00323041018964154549	0.00272880333196090985	1	-3841.46632122848632	2.50575553337127488	0.00746382180260408198	1	0.5	0.0132258479911713106	0.00421884647465320482	0.0112289243123877471	2	-1126.56915139727994	8.99686896617742704	0.0168792823776211659	1	0.5	0.0044894387511052675	0.000661653932755355812	0.00287392717813199361
