generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler2	5178	5345	1	0.0212766	0.271669	
LeafPopulationSizeScaler2	5536	4978	1	0.0212766	0.467738	
RootPopulationSizeScaler3	5130	5429	1	0.0212766	0.317951	
LeafPopulationSizeScaler3	5847	4653	1	0.0212766	0.42776	
RootPopulationSizeScaler4	5358	5178	1	0.0212766	0.263959	
LeafPopulationSizeScaler4	5771	4734	1	0.0212766	0.456463	
RootPopulationSizeScaler5	5557	4936	1	0.0212766	0.29632	
LeafPopulationSizeScaler5	6194	4323	1	0.0212766	0.527739	
RootPopulationSizeScaler6	5081	5447	1	0.0212766	0.301951	
LeafPopulationSizeScaler6	6346	4132	1	0.0212766	0.452202	
RootPopulationSizeScaler7	4955	5554	1	0.0212766	0.301324	
LeafPopulationSizeScaler7	5972	4487	1	0.0212766	0.489627	
RootPopulationSizeScaler8	5135	5364	1	0.0212766	0.287766	
LeafPopulationSizeScaler8	5859	4591	1	0.0212766	0.569963	
RootPopulationSizeScaler9	5474	5033	1	0.0212766	0.295418	
LeafPopulationSizeScaler9	6608	3949	1	0.0212766	0.905904	
RootPopulationSizeScaler10	5307	5257	1	0.0212766	0.307707	
LeafPopulationSizeScaler10	7638	2815	1	0.0212766	0.670493	
RootPopulationSizeScaler11	5178	5345	1	0.0212766	0.311442	
LeafPopulationSizeScaler11	6146	4338	1	0.0212766	0.742155	
RootPopulationSizeScaler12	5095	5381	1	0.0212766	0.318345	
LeafPopulationSizeScaler12	6157	4362	1	0.0212766	0.637288	
RootPopulationSizeScaler13	5148	5355	1	0.0212766	0.305443	
LeafPopulationSizeScaler13	6443	4089	1	0.0212766	0.728692	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	12697	0	10	0.212766	none	
TimeSizeRateMixer	24597	23573	5	0.106383	0.199776	
TimeRootSizeMixer	13691	15122	3	0.0638298	0.175531	
EventTimeScaler	94029	88582	1	0.0212766	0.462877	
RootPopulationSizeScaler0	5565	5864	1	0.0212766	0.326761	
LeafPopulationSizeScaler0	7301	4142	1	0.0212766	1.26023	
RootPopulationSizeScaler1	6019	5469	1	0.0212766	0.300948	
LeafPopulationSizeScaler1	6598	4900	1	0.0212766	0.584863	
RootPopulationSizeScaler2	5642	5841	1	0.0212766	0.272768	
LeafPopulationSizeScaler2	6035	5443	1	0.0212766	0.470599	
