model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,1,2,2,2,2,3,3,3,0	0.00214286	0.239643	<1e-06	>2147.46
0,1,2,3,4,1,5,6,6,0,3,3,3,0	0.00214286	0.241786	<1e-06	>2147.46
0,1,2,3,4,1,5,5,2,5,3,3,3,5	0.00214286	0.243929	<1e-06	>2147.46
0,1,2,3,4,1,0,0,5,0,3,3,3,0	0.00214286	0.246071	<1e-06	>2147.46
0,1,2,3,4,1,5,6,2,2,3,3,3,7	0.00214286	0.248214	<1e-06	>2147.46
0,1,2,3,4,1,2,5,2,6,3,3,3,0	0.00214286	0.250357	<1e-06	>2147.46
0,1,2,3,4,1,0,0,0,0,3,3,3,5	0.00214286	0.2525	<1e-06	>2147.46
0,1,2,3,4,1,5,6,7,2,3,3,3,8	0.00214286	0.254643	<1e-06	>2147.46
0,1,2,3,4,1,5,5,6,2,3,3,3,7	0.00214286	0.256786	<1e-06	>2147.46
0,1,2,3,4,1,2,2,5,2,3,3,3,6	0.00214286	0.258929	<1e-06	>2147.46
0,1,2,3,4,1,5,0,0,0,3,3,3,6	0.00214286	0.261071	<1e-06	>2147.46
0,1,0,2,3,1,0,0,4,5,2,2,2,0	0.00214286	0.263214	<1e-06	>2147.46
0,1,2,3,4,1,2,5,2,5,3,3,3,6	0.00214286	0.265357	<1e-06	>2147.46
0,1,2,3,4,1,5,0,0,6,3,3,3,7	0.00214286	0.2675	<1e-06	>2147.46
0,1,2,3,4,1,5,6,5,5,3,3,3,0	0.00214286	0.269643	<1e-06	>2147.46
0,1,2,3,4,1,2,2,5,2,3,3,3,5	0.00214286	0.271786	<1e-06	>2147.46
0,1,2,3,4,1,2,5,2,2,3,3,3,2	0.00178571	0.273571	<1e-06	>1788.91
0,1,2,3,4,1,0,5,0,6,3,3,3,0	0.00178571	0.275357	<1e-06	>1788.91
0,1,2,3,4,1,5,5,2,6,3,3,3,5	0.00178571	0.277143	<1e-06	>1788.91
0,1,2,3,4,1,5,5,6,7,3,3,3,7	0.00178571	0.278929	<1e-06	>1788.91
0,1,2,3,4,1,5,5,6,6,3,3,3,6	0.00178571	0.280714	<1e-06	>1788.91
0,1,2,3,4,1,5,0,0,6,3,3,3,0	0.00178571	0.2825	<1e-06	>1788.91
0,1,2,3,4,1,2,0,0,5,3,3,3,6	0.00178571	0.284286	<1e-06	>1788.91
0,1,2,3,4,1,2,2,5,6,3,3,3,6	0.00178571	0.286071	<1e-06	>1788.91
0,1,2,3,4,1,2,2,5,6,3,3,3,5	0.00178571	0.287857	<1e-06	>1788.91
0,1,2,3,4,1,5,5,6,5,7,7,7,8	0.00178571	0.289643	<1e-06	>1788.91
0,1,2,3,4,1,5,6,6,6,3,3,3,5	0.00178571	0.291429	<1e-06	>1788.91
0,1,2,3,4,1,5,6,6,6,3,3,3,0	0.00178571	0.293214	<1e-06	>1788.91
0,1,2,3,4,1,5,2,6,7,3,3,3,6	0.00178571	0.295	<1e-06	>1788.91
0,1,2,3,4,1,5,2,2,6,3,3,3,2	0.00178571	0.296786	<1e-06	>1788.91
0,1,2,3,4,1,5,2,5,6,3,3,3,7	0.00178571	0.298571	<1e-06	>1788.91
0,1,2,3,4,1,5,6,6,2,3,3,3,7	0.00178571	0.300357	<1e-06	>1788.91
0,1,2,3,4,1,5,6,2,6,3,3,3,7	0.00178571	0.302143	<1e-06	>1788.91
0,1,2,3,4,1,5,5,6,0,3,3,3,7	0.00178571	0.303929	<1e-06	>1788.91
0,1,0,2,3,1,0,0,0,4,2,2,2,5	0.00178571	0.305714	<1e-06	>1788.91
0,1,2,3,4,1,2,2,2,5,3,3,3,5	0.00178571	0.3075	<1e-06	>1788.91
0,1,2,3,4,1,5,6,7,6,3,3,3,6	0.00178571	0.309286	<1e-06	>1788.91
0,1,2,3,4,1,2,5,5,5,3,3,3,6	0.00178571	0.311071	<1e-06	>1788.91
0,1,2,3,4,1,5,2,5,2,3,3,3,6	0.00178571	0.312857	<1e-06	>1788.91
0,1,2,3,4,1,5,6,7,8,3,3,3,5	0.00178571	0.314643	1e-06	1788.91
0,1,2,3,4,1,5,2,6,7,3,3,3,7	0.00178571	0.316429	<1e-06	>1788.91
0,1,2,3,4,1,0,5,0,0,3,3,3,6	0.00178571	0.318214	<1e-06	>1788.91
0,1,2,3,4,1,2,5,6,2,3,3,3,7	0.00178571	0.32	<1e-06	>1788.91
0,1,2,3,4,1,5,6,5,6,3,3,3,5	0.00178571	0.321786	<1e-06	>1788.91
0,1,2,3,4,1,5,2,5,5,3,3,3,5	0.00178571	0.323571	<1e-06	>1788.91
0,1,2,3,4,1,2,5,5,6,3,3,3,7	0.00178571	0.325357	<1e-06	>1788.91
0,1,2,3,4,1,5,6,5,5,3,3,3,6	0.00178571	0.327143	<1e-06	>1788.91
0,1,0,2,3,1,0,0,4,0,2,2,2,5	0.00178571	0.328929	<1e-06	>1788.91
0,1,2,3,4,1,5,6,6,7,3,3,3,5	0.00178571	0.330714	<1e-06	>1788.91
0,1,2,3,4,1,5,5,0,0,3,3,3,0	0.00142857	0.332143	<1e-06	>1430.61
0,1,2,3,4,1,2,5,0,0,3,3,3,6	0.00142857	0.333571	<1e-06	>1430.61
0,1,2,3,4,1,5,5,0,5,3,3,3,0	0.00142857	0.335	<1e-06	>1430.61
0,1,2,3,4,1,2,5,6,0,3,3,3,0	0.00142857	0.336429	<1e-06	>1430.61
0,1,2,3,4,1,2,5,5,6,3,3,3,6	0.00142857	0.337857	<1e-06	>1430.61
0,1,2,3,4,1,2,5,6,2,3,3,3,6	0.00142857	0.339286	<1e-06	>1430.61
0,1,2,3,4,1,5,2,6,6,3,3,3,6	0.00142857	0.340714	<1e-06	>1430.61
0,1,2,3,4,1,5,6,5,7,3,3,3,7	0.00142857	0.342143	<1e-06	>1430.61
0,1,2,3,4,1,5,2,6,2,3,3,3,2	0.00142857	0.343571	<1e-06	>1430.61
0,1,2,3,4,1,5,5,2,6,3,3,3,6	0.00142857	0.345	<1e-06	>1430.61
0,1,2,3,4,1,2,5,6,6,3,3,3,6	0.00142857	0.346429	<1e-06	>1430.61
0,1,2,3,4,1,5,6,7,8,3,3,9,10	0.00142857	0.347857	2e-06	715.306
0,1,2,3,4,1,5,2,6,0,3,3,3,7	0.00142857	0.349286	<1e-06	>1430.61
0,1,2,3,4,1,2,5,5,5,3,3,3,5	0.00142857	0.350714	<1e-06	>1430.61
0,1,2,3,4,1,5,5,5,0,3,3,3,5	0.00142857	0.352143	<1e-06	>1430.61
0,1,2,3,4,1,5,5,5,0,3,3,3,6	0.00142857	0.353571	<1e-06	>1430.61
0,1,2,3,4,1,2,5,5,5,3,3,3,0	0.00142857	0.355	<1e-06	>1430.61
0,1,2,3,4,1,2,2,2,0,3,3,3,5	0.00142857	0.356429	<1e-06	>1430.61
0,1,2,3,4,1,5,6,2,7,3,3,3,6	0.00142857	0.357857	<1e-06	>1430.61
0,1,2,3,4,1,5,2,5,5,3,3,3,6	0.00142857	0.359286	<1e-06	>1430.61
0,1,2,3,4,1,5,6,6,0,3,3,3,7	0.00142857	0.360714	<1e-06	>1430.61
0,1,2,3,4,1,2,5,5,2,3,3,3,6	0.00142857	0.362143	<1e-06	>1430.61
